,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,contig_2,1697,1698,1,36.0,36.0,41.0,-5.048185325235271,-5.048185325235271,-0.18762700317577133
1,contig_2,2103,2825,722,38.10803324099723,39.0,41.0,-2.980877019591293,-7.00954747592509,-0.10552875727937432
2,contig_2,4354,4355,1,41.0,41.0,46.0,-4.515206479939126,-4.515206479939126,-0.16600995143892924
3,contig_2,4525,4526,1,41.0,41.0,46.0,-4.515206479939126,-4.515206479939126,-0.16600995143892924
4,contig_2,5147,5148,1,40.0,40.0,47.0,-6.133194174553042,-6.133194174553042,-0.232660756790275
5,contig_2,5934,5935,1,43.0,43.0,48.0,-4.3331053744629395,-4.3331053744629395,-0.15869774601905817
6,contig_2,6415,6416,1,44.0,44.0,49.0,-4.247629345361876,-4.247629345361876,-0.15527822547791095
7,contig_2,6597,6598,1,43.0,43.0,49.0,-5.068199224732107,-5.068199224732107,-0.1884450894131103
8,contig_2,7434,7435,1,46.0,46.0,51.0,-4.086733290583399,-4.086733290583399,-0.1488633859144827
9,contig_2,7474,7475,1,41.0,41.0,51.0,-8.02868663265607,-8.02868663265607,-0.31487333735341183
10,contig_2,8481,8482,1,49.0,49.0,56.0,-5.170770459653384,-5.170770459653384,-0.19264507794239588
11,contig_2,9425,9426,1,49.0,49.0,58.0,-6.383940583032645,-6.383940583032645,-0.24327115101236388
