,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,contig_2,1776,1777,1,68.0,68.0,78.0,-6.334301381533371,-6.334301381533371,-0.1979393776119089
1,contig_2,1958,1959,1,69.0,69.0,78.0,-5.722363228177282,-5.722363228177282,-0.17687776208407935
2,contig_2,2581,2582,1,71.0,71.0,78.0,-4.498486921465099,-4.498486921465099,-0.1356550993575663
3,contig_2,2795,2796,1,68.0,68.0,78.0,-6.334301381533371,-6.334301381533371,-0.1979393776119089
4,contig_2,2835,2836,1,66.0,66.0,78.0,-7.558177688245555,-7.558177688245555,-0.24100809950379493
5,contig_2,3842,3843,1,73.0,73.0,88.0,-8.350915750547761,-8.350915750547761,-0.26960705975727994
6,contig_2,4786,4787,1,80.0,80.0,90.0,-5.518383843725252,-5.518383843725252,-0.16992500144231246
7,contig_2,5356,5357,1,82.0,82.0,91.0,-4.935585602433734,-4.935585602433734,-0.15024263558061254
8,contig_2,7376,7377,1,76.0,76.0,83.0,-4.240440712218556,-4.240440712218556,-0.12711191790333934
9,contig_2,8886,8887,1,73.0,73.0,80.0,-4.391397744627783,-4.391397744627783,-0.13210353600734515
10,contig_2,10193,10898,705,67.48652482269503,70.0,72.19574468085106,-3.3280063257669594,-7.407288828513918,-0.09731434018975227
